City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Amaravati,9/21/2018,35.02,71.42,2.84,21.04,13.5,19.86,0.74,6.28,41.37,0.02,0.03,0.1,80
Amaravati,9/22/2018,24.29,50.33,3.45,13.45,10.13,18.22,0.97,14.1,47.86,0.03,0.07,0.1,81
Amaravati,9/23/2018,19.69,50.18,3.1,12.18,9,16.71,0.43,12.28,27.91,0,0.02,,52
Amaravati,9/24/2018,18.81,50.51,6.24,14.01,12.61,15.48,0.92,14.67,20.67,0.01,0.02,,89
Amaravati,9/25/2018,26.13,60.44,8.3,22.94,19.06,19.43,0.82,27,30.84,0.03,7.96,12.4,59
Amaravati,9/26/2018,24.08,45.81,8.17,27.49,21.37,18.56,0.84,13.47,27.49,0.03,0.07,0.12,62
Amaravati,9/27/2018,21.81,37.31,6.87,28.22,20.75,19.6,0.62,17.33,25.36,0.02,0.13,,52
Amaravati,9/28/2018,11.15,34.75,9.61,12.53,14.66,22.26,0.71,11.43,21.89,0.01,0.03,,
Amaravati,9/29/2018,14.58,41.04,15.55,15.29,20.86,15.78,0.85,14.92,20.11,0.03,0.06,,61
Amaravati,9/30/2018,,42.61,10.61,14.9,16.55,16.9,0.84,11.9,25.72,0.01,0.06,,57
Amaravati,10/1/2018,8.98,37.07,6.59,12.51,12.1,18.93,0.75,8.48,21.47,0,0.03,,49
Amaravati,10/2/2018,9.7,30.1,20.22,13.81,23.79,16.77,0.72,7.25,14.92,0.01,0.1,,48
Amaravati,10/3/2018,13.11,41.43,8.07,14.11,14.6,16.96,0.79,19.9,43.39,0.04,0.06,,
Amaravati,10/4/2018,14.15,39.67,7.63,14.53,14.09,16.17,0.54,13.81,30.86,0.01,0.05,,
Amaravati,10/5/2018,25.88,56.44,6.94,17.79,15.2,15.01,0.84,12.41,27.48,0.04,0.21,0.1,56
Amaravati,10/6/2018,49.7,109.35,8.38,25.91,20.65,17.96,0.76,14.31,46.63,0.05,0.16,0.1,80
Amaravati,10/7/2018,68.66,163.06,11.84,36.24,28.91,26.12,0.86,10.92,28.42,0.09,0.07,,121
Amaravati,10/8/2018,53.52,122.89,14.4,35.17,30.56,16.36,1.44,13.94,52.71,0.06,0.08,0.11,
Amaravati,10/9/2018,65.16,184.84,22.45,52.69,46.28,18.53,1.07,25.5,37.46,0.08,0.14,0.1,142
Amaravati,10/10/2018,52.88,172.08,5.52,26.45,18.96,21.36,0.81,31.74,57.33,0.04,0.05,0.1,154
Amaravati,10/11/2018,54.08,157.38,3.63,26.71,17.34,17.82,1.02,27.31,76.78,0.06,0.03,,
Amaravati,10/12/2018,40.99,122.69,4.32,29.54,19.32,17.01,0.6,24.37,44.5,0.06,0.08,0.1,130
Amaravati,10/13/2018,47.2,116.44,5.83,28.13,19.71,19.97,0.88,16.73,36.92,0.06,0.09,,109
Amaravati,10/14/2018,39.22,102.6,4.9,24.58,17.06,22.01,0.95,10.6,25.73,0,0.06,0.1,113
Amaravati,10/15/2018,36.86,76.61,8.26,27.36,21.36,20.86,1.09,9.33,21.11,0.02,0.12,0.14,91
Amaravati,10/16/2018,34.41,72.03,10.35,25.38,22,19.19,1.07,10.8,21.99,0.02,0.19,0.28,77
Amaravati,10/17/2018,22.05,48.93,6.04,18.92,15.15,19.77,0.94,10.51,26.78,0,0.02,,80
Amaravati,10/22/2018,72.23,183.25,7.73,41.66,28.64,15.61,1.21,38.88,44.59,0.09,0.15,,
Amaravati,10/23/2018,71.31,155.98,11.55,25.88,23.25,14.58,1.29,11.32,34.32,0.06,0.08,,149
Amaravati,10/24/2018,63.54,130.58,4.41,25.81,17.47,15.53,1.17,19.34,47.53,0.07,0.07,,133
Amaravati,10/25/2018,52.92,125.33,4.1,37.63,23.5,13.51,1.66,13.7,45.81,0.06,0.11,0.1,
Amaravati,10/26/2018,56.53,128.8,9.84,36.38,27.43,16.01,1.18,13.43,41.17,0.08,0.15,0.1,122
Amaravati,10/27/2018,69.42,167.05,1.79,45.82,25.35,14.06,1.35,23.42,39,0.07,0.38,0.14,133
Amaravati,10/28/2018,53.53,119.1,1.52,38.23,21.54,13.73,0.88,15.52,37.22,0.07,0.28,0.14,133
Amaravati,10/29/2018,48.33,115.41,1.38,36.77,20.23,15.37,1.16,28.74,37.42,0.08,0.22,0.1,118
Amaravati,10/30/2018,58.65,125.68,1.23,36.24,20.27,14.82,1.26,14.54,31.09,0.07,0.13,0.13,118
Amaravati,10/31/2018,33.33,65.58,1.24,19.63,11.45,12.35,0.88,10.4,32.06,0.04,0.15,,98
Amaravati,11/1/2018,17.62,37.38,5.59,35.39,21.13,15.23,0.6,12.5,37.06,0,0.02,,
Amaravati,11/2/2018,14.54,53.23,9.13,36.62,27.06,1.81,0.84,8.95,20.93,0,0.04,,
Amaravati,11/3/2018,12.7,38.49,4.68,30.66,20.22,1.62,0.89,8.59,23.45,0,0.05,,75
Amaravati,11/4/2018,16.86,36.56,4.6,26.48,17.83,2.72,0.55,10.19,21.33,0,0.05,,45
Amaravati,11/5/2018,21.58,68.71,20.4,39.44,37.67,3.41,0.73,10.43,19.42,0,0.07,0.1,61
Amaravati,11/6/2018,23.22,64.84,20.42,39.56,37.74,2.15,0.89,10.33,21.33,0.01,0.11,0.1,86
Amaravati,11/7/2018,28.39,71.27,11.5,45.23,33.61,0.3,1.04,10.36,35.14,0.01,0.05,,70
Amaravati,11/8/2018,43.23,97.64,5.87,48,30.5,0.75,0.84,15.03,36.26,0.01,0.07,,
Amaravati,11/9/2018,51.51,111.28,20.08,57.93,47.24,2.03,1.07,12.3,26.53,0.04,0.11,0.1,105
Amaravati,11/10/2018,56.85,115.5,16.11,62.91,46.64,2.73,0.82,18.89,27.44,0.03,0.09,0.1,106
Amaravati,11/11/2018,68.25,129.41,15.11,65,46.85,3.53,1.22,25.14,30.3,0.08,0.29,0.1,120
Amaravati,11/12/2018,84.48,164.24,14.25,80.74,54.62,3.19,1.21,30.44,33.39,0.1,0.39,0.25,156
